laptop_ID,Company,Product,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price_euros,Cpu_Company,Memory_Amount,Memory_Type,SSD
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8GB,Nvidia GeForce 940MX,No OS,2.2,499.0,Intel,1024,HDD,0
20,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.22,979.0,Intel,128,SSD,1
21,Asus,Vivobook E200HA,Netbook,11.6,Intel Atom x5-Z8350 1.44GHz,2GB,Intel HD Graphics 400,Windows 10,0.98,191.9,Intel,32,Flash,0
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,Intel,1152,SSD + HDD,1
23,HP,255 G6,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,AMD Radeon R2,No OS,1.86,258.0,AMD,500,HDD,0
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.62,819.0,Intel,256,SSD,1
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Intel HD Graphics 620,Windows 10,1.91,659.0,Intel,256,SSD,1
26,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,Windows 10,2.3,418.64,Intel,1024,HDD,0
27,Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 1.6GHz,8GB,Intel HD Graphics 6000,Mac OS X,1.35,1099.0,Intel,128,Flash,0
28,Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,Windows 10,2.2,800.0,Intel,256,SSD,1
29,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,8GB,Intel UHD Graphics 620,Windows 10,1.88,1298.0,Intel,512,SSD,1
30,HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,Windows 10,2.5,896.0,Intel,1024,HDD,0
31,Chuwi,"LapBook 15.6""",Notebook,15.6,Intel Atom x5-Z8300 1.44GHz,4GB,Intel HD Graphics,Windows 10,1.89,244.99,Intel,64,Flash,0
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD E-Series E2-6110 1.5GHz,2GB,AMD Radeon R2,Windows 10,1.65,199.0,AMD,32,Flash,0
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon 530,Windows 10,2.71,439.0,AMD,500,HDD,0
34,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,Windows 10,1.2,1869.0,Intel,512,SSD,1
35,Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 1.6GHz,8GB,Intel HD Graphics 6000,Mac OS X,1.35,998.0,Intel,256,Flash,0
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,Windows 10,1.44,249.0,Intel,64,Flash,0
37,Acer,Aspire 3,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4GB,Intel HD Graphics 620,Linux,2.1,367.0,Intel,1024,HDD,0
38,Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,Windows 10,2.8,979.0,Intel,1152,SSD + HDD,1
39,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,Windows 10,1.86,488.69,Intel,1024,HDD,0
40,HP,ProBook 450,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,Intel,256,SSD,1
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 620,Linux,2.0,389.0,Intel,1024,HDD,0
42,Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,Intel,1280,SSD + HDD,1
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,Linux,2.3,522.99,Intel,1024,HDD,0
44,Acer,Aspire A515-51G,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,Windows 10,2.2,682.0,Intel,256,SSD,1
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Intel Core i5 8250U 1.6GHz,12GB,Nvidia GeForce 150MX,Windows 10,2.77,999.0,Intel,1024,HDD,0
46,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.0GHz,8GB,Intel Iris Graphics 540,macOS,1.37,1419.0,Intel,256,SSD,1
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,No OS,2.2,369.0,Intel,128,SSD,1
48,Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 3GHz,8GB,AMD Radeon RX 580,Windows 10,3.2,1299.0,AMD,1280,SSD + HDD,1
49,Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,AMD Radeon R5 M430,Windows 10,2.3,639.0,Intel,256,SSD,1
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Intel Pentium Quad Core N4200 1.1GHz,4GB,Nvidia GeForce 920MX,Windows 10,2.8,466.0,Intel,1024,HDD,0
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,4GB,Intel HD Graphics 400,Android,0.69,319.0,Intel,64,Flash,0
52,Acer,Aspire A515-51G,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,Windows 10,2.2,841.0,Intel,256,SSD,1
53,HP,255 G6,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,AMD,256,SSD,1
54,HP,ProBook 430,Notebook,13.3,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,1.49,1103.0,Intel,512,SSD,1
55,Acer,Aspire 3,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,Windows 10,2.4,384.0,Intel,1024,HDD,0
56,Dell,Inspiron 3576,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 520,Windows 10,2.13,767.8,Intel,256,SSD,1
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,Windows 10,1.91,439.0,Intel,128,SSD,1
58,Asus,VivoBook Max,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,Windows 10,2.0,586.19,Intel,256,SSD,1
59,MSI,GS73VR 7RG,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,Windows 10,2.43,2449.0,Intel,2304,SSD + HDD,1
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,Linux,2.0,415.0,Intel,256,SSD,1
61,Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,Windows 10,2.8,1299.0,Intel,2304,SSD + HDD,1
62,Dell,Vostro 5471,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.7,879.0,Intel,256,SSD,1
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,Intel Core i3 7130U 2.7GHz,8GB,Intel HD Graphics 620,No OS,1.7,599.0,Intel,256,SSD,1
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.4,941.0,Intel,256,SSD,1
66,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,Windows 10,1.86,690.0,Intel,256,SSD,1
67,Asus,ZenBook Pro,Ultrabook,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983.0,Intel,512,SSD,1
68,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,AMD Radeon 520,Windows 10,1.86,438.69,Intel,500,HDD,0
69,HP,Stream 14-AX040wm,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,Windows 10,1.44,229.0,Intel,32,SSD,1
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,Windows 10,1.9,549.0,Intel,1024,HDD,0
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1050 Ti,Linux,3.0,949.0,Intel,1024,HDD,0
72,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,Windows 10 S,1.252,1089.0,Intel,128,SSD,1
73,Dell,Inspiron 5370,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,Windows 10,1.4,955.0,Intel,256,SSD,1
74,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,Windows 10,2.2,870.0,Intel,256,SSD,1
75,MSI,GL72M 7RDX,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,Windows 10,2.7,1095.0,Intel,1152,SSD + HDD,1
76,Acer,Aspire E5-475,Notebook,14.0,Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,Windows 10,2.1,389.0,Intel,1024,HDD,0
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,Windows 10,2.2,949.0,Intel,1024,HDD,0
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,No OS,2.2,519.0,Intel,2048,HDD,0
79,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,2.02,855.0,Intel,1152,SSD + HDD,1
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,Windows 10,2.2,530.0,Intel,1024,HDD,0
81,HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 930MX,Windows 10,2.5,977.0,Intel,1152,SSD + HDD,1
82,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.88,1096.16,Intel,256,SSD,1
83,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core i5 1.3GHz,8GB,Intel HD Graphics 615,macOS,0.92,1510.0,Intel,512,SSD,1
84,HP,ProBook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,Intel HD Graphics 620,Windows 10,1.63,860.0,Intel,256,SSD,1
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4GB,AMD R4 Graphics,Windows 10,2.2,399.0,AMD,128,SSD,1
86,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,Windows 10,2.1,395.0,AMD,1024,HDD,0
87,Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349.0,Intel,1152,SSD + HDD,1
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce GTX 940MX,Windows 10,1.83,699.0,Intel,256,SSD,1
89,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,Windows 10,1.96,598.99,Intel,256,SSD,1
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,Intel,1152,SSD + HDD,1
91,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,1.21,1649.0,Intel,256,SSD,1
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD FX 9830P 3GHz,8GB,AMD Radeon RX 560,Windows 10,2.45,699.0,AMD,1024,HDD,0
93,Acer,Aspire 5,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,Windows 10,2.2,689.0,Intel,1024,HDD,0
94,HP,Probook 430,Notebook,13.3,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,Windows 10,1.49,1197.0,Intel,512,SSD,1
95,Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1060,Windows 10,2.65,1195.0,Intel,256,SSD,1
96,Asus,Zenbook UX430UA,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,Windows 10,1.25,1049.0,Intel,256,SSD,1
97,Acer,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.5,847.0,Intel,256,SSD,1
98,Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R5 M430,Linux,2.2,599.9,Intel,1024,HDD,0
99,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,Linux,2.2,485.0,Intel,256,SSD,1
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6GB,Nvidia GeForce 920M,Windows 10,2.0,577.0,Intel,256,SSD,1
102,HP,Omen 15-ce007nv,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1050,Windows 10,2.62,1249.0,Intel,1152,SSD + HDD,1
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon 530,Windows 10,1.91,719.0,Intel,256,SSD,1
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,AMD Radeon R2,Windows 10,2.1,349.0,AMD,500,HDD,0
105,Dell,Inspiron 3576,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,Linux,2.2,647.0,Intel,1024,HDD,0
106,HP,Envy 13-ad009n,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce MX150,Windows 10,1.38,1119.0,Intel,256,SSD,1
107,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,Windows 10 S,1.252,1340.0,Intel,256,SSD,1
108,HP,Pavilion 14-BK001nv,Notebook,14.0,Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce 940MX,Windows 10,1.58,659.0,Intel,256,SSD,1
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,Windows 10,1.85,414.9,Intel,1024,HDD,0
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,Windows 10,1.3,1193.0,Intel,256,SSD,1
111,MSI,GP62M 7REX,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299.0,Intel,1280,SSD + HDD,1
112,Lenovo,Thinkpad T470,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,Windows 10,1.58,1480.0,Intel,256,SSD,1
113,Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,Windows 10,1.5,1262.0,Intel,1280,SSD + HDD,1
114,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8GB,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,Intel,256,SSD,1
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,Windows 10,1.37,1399.0,Intel,256,SSD,1
116,HP,Probook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,Windows 10,1.63,722.0,Intel,500,HDD,0
117,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.21,1629.0,Intel,256,SSD,1
118,HP,Spectre x360,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.26,1398.99,Intel,256,SSD,1
119,HP,Probook 440,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,1.63,1084.0,Intel,512,SSD,1
120,Dell,Inspiron 7570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,Windows 10,2.16,1130.33,Intel,1280,SSD + HDD,1
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Intel Core i3 6006U 2GHz,4GB,Nvidia GeForce 920MX,Windows 10,2.0,564.0,Intel,1024,HDD,0
122,Asus,VivoBook S15,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,Windows 10,1.7,1118.0,Intel,256,SSD,1
123,Acer,Spin 3,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6GB,Intel HD Graphics 620,Windows 10,2.1,479.0,Intel,1024,HDD,0
124,MSI,GS63VR 7RG,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,Windows 10,1.8,2241.5,Intel,2304,SSD + HDD,1
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,No OS,2.2,629.0,Intel,256,SSD,1
126,HP,Probook 470,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce 930MX ,Windows 10,2.5,1271.0,Intel,512,SSD,1
127,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,Windows 10,2.1,451.0,AMD,256,SSD,1
128,HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,No OS,1.86,259.0,Intel,500,HDD,0
129,HP,Probook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.63,812.0,Intel,1024,HDD,0
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,AMD E-Series 6110 1.5GHz,4GB,AMD Radeon R2,Windows 10 S,1.65,277.99,AMD,64,SSD,1
131,Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,AMD Radeon 530,Windows 10,2.8,1396.0,Intel,2304,SSD + HDD,1
132,HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,2.5,928.0,Intel,256,SSD,1
133,Dell,Inspiron 5567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,AMD Radeon R7 M445,Windows 10,2.36,638.99,Intel,1024,HDD,0
134,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,Windows 10,2.2,449.0,Intel,1024,HDD,0
135,Acer,Swift 3,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,1.6,884.0,Intel,256,SSD,1
136,Acer,Aspire A515-51G-37JS,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,Windows 10,2.2,572.0,Intel,256,SSD,1
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,Windows 10,2.05,598.0,Intel,1024,HDD,0
138,HP,Probook 440,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,1.63,988.0,Intel,256,SSD,1
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,No OS,1.9,252.36,Intel,1024,HDD,0
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,Windows 10,3.0,938.0,Intel,1152,SSD + HDD,1
141,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,Nvidia GeForce 920MX,No OS,2.2,499.0,Intel,1024,HDD,0
142,HP,Envy 13-AD007nv,Notebook,13.3,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,Windows 10,1.32,699.0,Intel,256,SSD,1
143,Acer,Aspire 5,Notebook,17.3,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,Windows 10,3.0,655.0,Intel,1024,HDD,0
144,Lenovo,ThinkPad E480,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon RX 550,Windows 10,1.75,1116.02,Intel,256,SSD,1
145,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050M,No OS,2.4,869.0,Intel,256,SSD,1
146,Toshiba,Satellite Pro,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4GB,Intel HD Graphics 520,Windows 10,2.1,602.0,Intel,500,HDD,0
147,HP,255 G6,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4GB,AMD Radeon R4 Graphics,Windows 10,1.86,369.0,AMD,256,SSD,1
148,Asus,ZenBook UX430UA,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,Windows 10,1.25,1099.0,Intel,256,SSD,1
149,HP,EliteBook Folio,Ultrabook,12.5,Intel Core M 6Y75 1.2GHz,8GB,Intel HD Graphics 515,Windows 10,0.97,2014.0,Intel,512,SSD,1
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,Windows 10,2.0,344.0,Intel,1024,HDD,0
151,MSI,GE72MVR 7RG,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,Windows 10,2.9,2029.0,Intel,1280,SSD + HDD,1
152,Acer,Aspire A315-51,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,Windows 10,2.1,447.0,Intel,1024,HDD,0
153,Dell,Inspiron 5577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,Windows 10,2.56,1249.26,Intel,512,SSD,1
154,Dell,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,Windows 10,2.62,899.0,Intel,1024,Hybrid,0
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,Windows 10,1.9,498.0,Intel,128,SSD,1
